2018/2019,shot,outcome,Goal,Carles Aleña Castillo,2,0.5888888888888889
2018/2019,shot,outcome,Saved,Carles Aleña Castillo,1,0.5888888888888889
2018/2019,shot,outcome,Off T,Carles Aleña Castillo,1,0.5888888888888889
2018/2019,shot,outcome,Blocked,Carles Aleña Castillo,5,0.5888888888888889
2018/2019,shot,outcome,Saved,Denis Suárez Fernández,1,0.5
2018/2019,shot,outcome,Saved,Sergio Enrich Ametller,2,-0.06666666666666667
2018/2019,shot,outcome,Off T,Sergio Enrich Ametller,2,-0.06666666666666667
2018/2019,shot,outcome,Wayward,Sergio Enrich Ametller,2,-0.06666666666666667
2018/2019,shot,outcome,Saved,Raúl García Escudero,3,0.21999999999999997
2018/2019,shot,outcome,Off T,Raúl García Escudero,2,0.21999999999999997
2018/2019,shot,outcome,Wayward,Borja González Tomás,1,-0.5
2018/2019,shot,outcome,Off T,Darko Brašanac,1,-0.2
2018/2019,shot,outcome,Blocked,Raphaël Varane,1,0.2
2018/2019,shot,outcome,Saved,Juan Francisco Moreno Fuertes,1,0.35
2018/2019,shot,outcome,Blocked,Juan Francisco Moreno Fuertes,1,0.35
2018/2019,shot,outcome,Off T,Sergi Darder Moll,1,-0.35
2018/2019,shot,outcome,Wayward,Sergi Darder Moll,1,-0.35
2018/2019,shot,outcome,Goal,Daniel Parejo Muñoz,1,0.4666666666666667
2018/2019,shot,outcome,Saved,Daniel Parejo Muñoz,2,0.4666666666666667
2018/2019,shot,outcome,Off T,Daniel Parejo Muñoz,2,0.4666666666666667
2018/2019,shot,outcome,Blocked,Daniel Parejo Muñoz,1,0.4666666666666667
2018/2019,shot,outcome,Saved,Wissam Ben Yedder,2,0.07142857142857142
2018/2019,shot,outcome,Off T,Wissam Ben Yedder,2,0.07142857142857142
2018/2019,shot,outcome,Blocked,Wissam Ben Yedder,2,0.07142857142857142
2018/2019,shot,outcome,Wayward,Wissam Ben Yedder,1,0.07142857142857142
2018/2019,shot,outcome,Blocked,Sofiane Boufal,1,0.2
2018/2019,shot,outcome,Off T,Sergio Guardiola Navarro,2,0.0
2018/2019,shot,outcome,Blocked,Sergio Guardiola Navarro,2,0.0
2018/2019,shot,outcome,Saved,Pablo Sarabia García,1,0.11666666666666667
2018/2019,shot,outcome,Off T,Pablo Sarabia García,2,0.11666666666666667
2018/2019,shot,outcome,Blocked,Pablo Sarabia García,3,0.11666666666666667
2018/2019,shot,outcome,Off T,Sergio Busquets i Burgos,5,-0.13333333333333336
2018/2019,shot,outcome,Blocked,Sergio Busquets i Burgos,1,-0.13333333333333336
2018/2019,shot,outcome,Goal,Martin Braithwaite Christensen,1,0.9
2018/2019,shot,outcome,Off T,Martin Braithwaite Christensen,1,0.9
2018/2019,shot,outcome,Goal,Carlos Arturo Bacca Ahumada,1,0.9
2018/2019,shot,outcome,Off T,Carlos Arturo Bacca Ahumada,1,0.9
2018/2019,shot,outcome,Blocked,Leonardo Carrilho Baptistão,1,0.2
2018/2019,shot,outcome,Blocked,Esteban Félix Granero Molina,1,0.2
2018/2019,shot,outcome,Off T,Sergio Reguilón Rodríguez,1,-0.2
2018/2019,shot,outcome,Saved,Rubén Pardo Gutiérrez,1,0.5
2018/2019,shot,outcome,Off T,Gonzalo Escalante,1,0.0
2018/2019,shot,outcome,Blocked,Gonzalo Escalante,1,0.0
2018/2019,shot,outcome,Saved,Arthur Henrique Ramos de Oliveira Melo,2,0.35
2018/2019,shot,outcome,Blocked,Arthur Henrique Ramos de Oliveira Melo,2,0.35
2018/2019,shot,outcome,Saved,Francesc Aday Benítez Caraballo,1,0.5
2018/2019,shot,outcome,Goal,Arturo Erasmo Vidal Pardo,2,0.2863636363636364
2018/2019,shot,outcome,Saved,Arturo Erasmo Vidal Pardo,6,0.2863636363636364
2018/2019,shot,outcome,Off T,Arturo Erasmo Vidal Pardo,7,0.2863636363636364
2018/2019,shot,outcome,Blocked,Arturo Erasmo Vidal Pardo,6,0.2863636363636364
2018/2019,shot,outcome,Wayward,Arturo Erasmo Vidal Pardo,1,0.2863636363636364
2018/2019,shot,outcome,Saved,Mikel Oyarzabal Ugarte,1,0.075
2018/2019,shot,outcome,Off T,Mikel Oyarzabal Ugarte,2,0.075
2018/2019,shot,outcome,Blocked,Mikel Oyarzabal Ugarte,1,0.075
2018/2019,shot,outcome,Off T,Quincy Anton Promes,1,-0.2
